iter	RMSE
1435	0.08815023448
1436	0.08814029893
1437	0.08813088701
1438	0.0881263209
1439	0.0881177488
1440	0.08810914154
1441	0.08810194595
1442	0.08809222229
1443	0.08808397033
1444	0.08807607306
1445	0.08806864996
1446	0.08806135103
1447	0.08805395519
1448	0.08804459253
1449	0.08803463668
1450	0.08802619952
1451	0.08801938581
1452	0.08801218972
1453	0.08800310462
1454	0.08799512307
1455	0.08798919017
1456	0.0879824044
1457	0.08797719121
1458	0.08797196836
1459	0.08796423861
1460	0.08795518327
1461	0.08794557553
1462	0.08794012106
1463	0.08793571057
1464	0.08792899388
1465	0.08792426046
1466	0.08791307504
1467	0.08790895661
1468	0.08790064579
1469	0.08789038858
1470	0.08788296014
1471	0.08787650156
1472	0.08787198891
1473	0.08785973585
1474	0.08785171021
1475	0.08784515982
1476	0.08783860009
1477	0.08783088071
1478	0.08782356242
1479	0.08781661938
1480	0.08781233149
1481	0.08780145933
1482	0.08779482383
1483	0.08779093268
1484	0.0877852588
1485	0.08777795984
1486	0.08777133406
1487	0.08776599199
1488	0.08775715443
1489	0.08774916857
1490	0.08774358999
1491	0.08773417043
1492	0.08772741422
1493	0.08772133514
1494	0.08771547134
1495	0.08770828117
1496	0.08770328326
1497	0.08769879863
1498	0.08769309558
1499	0.08768483493
1500	0.08767953885
1501	0.08767165777
1502	0.08766592607
1503	0.08766069226
1504	0.08765407641
1505	0.08765062053
1506	0.08764398249
1507	0.0876390702
1508	0.08763229503
1509	0.08762331206
